"Your_github","Instructions"
"abishekarun","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw09. Please __review the hw09 submission of [marbazua](https://github.com/marbazua) and [vmichalowski](https://github.com/vmichalowski)__."
"Alexander-Morin","Please add [AnhKhoaVo](https://github.com/AnhKhoaVo) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw09. Please __review the hw09 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [CassKon](https://github.com/CassKon)__."
"AnhKhoaVo","Please add [zxkathy](https://github.com/zxkathy) and [margotgunning](https://github.com/margotgunning) as collaborators to your repo containing hw09. Please __review the hw09 submission of [rishadhabib](https://github.com/rishadhabib) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
"arsbar24","Please add [swynes](https://github.com/swynes) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw09. Please __review the hw09 submission of [yuanjisun](https://github.com/yuanjisun) and [Mathnstein](https://github.com/Mathnstein)__."
"arthursunbao","Please add [yanchaoluo](https://github.com/yanchaoluo) and [hannahdxz](https://github.com/hannahdxz) as collaborators to your repo containing hw09. Please __review the hw09 submission of [jmurthy12](https://github.com/jmurthy12) and [swynes](https://github.com/swynes)__."
"bcahn7","Please add [yidie](https://github.com/yidie) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw09. Please __review the hw09 submission of [HScheiber](https://github.com/HScheiber) and [rainerlempert](https://github.com/rainerlempert)__."
"CassKon","Please add [Alexander-Morin](https://github.com/Alexander-Morin) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw09. Please __review the hw09 submission of [ilgan](https://github.com/ilgan) and [mylinhthibodeau](https://github.com/mylinhthibodeau)__."
"cheungamanda","Please add [wswade2](https://github.com/wswade2) and [menglinzhou](https://github.com/menglinzhou) as collaborators to your repo containing hw09. Please __review the hw09 submission of [yidie](https://github.com/yidie) and [xinmiaow](https://github.com/xinmiaow)__."
"dorawyy","Please add [emilymistick](https://github.com/emilymistick) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw09. Please __review the hw09 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [Kozp](https://github.com/Kozp)__."
"emilymistick","Please add [emwest](https://github.com/emwest) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw09. Please __review the hw09 submission of [vanflad](https://github.com/vanflad) and [dorawyy](https://github.com/dorawyy)__."
