"year","Gender","Degree","Program"
2008,"Male","PHD","Civil Engineering"
2008,"Male","MSC","Statistics"
2008,"Female","MSC","Statistics"
2008,"Female","MSC","Statistics"
2008,"Male","PHD","Statistics"
2008,"Male","MSC","Statistics"
2008,"Male","PHD","Chemical Engineering"
2008,"Male","MSC","Statistics"
2008,"Female","MSC","Statistics"
2008,"Female","PHD","Statistics"
2008,"Male","PHD","Statistics"
2008,"Female","MSC","Statistics"
2008,"Female","MSC","Statistics"
2008,"Male","PHD","Sociology"
2008,"Male","MSC","Statistics"
2008,"Female","MSC","Statistics"
2008,"Female","MSC","Experimental Medicine"
2008,"Female","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","PHD","Statistics"
2009,"Male","MSC","Computer Science"
2009,"Female","MSC","Human Kinetics"
2009,"Female","PHD","Political Science"
2009,"Female","MA","Psychology"
2009,"Male","MSC","Human Kinetics"
2009,"Male","MSC","Statistics"
2009,"Female","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Male","MSC","Statistics"
2009,"Female","MSC","Mathematics"
2009,"Male","MSC","Statistics"
2010,"Female","MSC","Statistics"
2010,"Female","MSC","Bioinformatics"
2010,"Female","MSC","Zoology"
2010,"Female","MSC","Forestry"
2010,"Female","MSC","Statistics"
2010,"Male","PHD","Psychology"
2010,"Male","MSC","Bioinformatics"
2010,"Female","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Female","PHD","Occupational Hygiene"
2010,"Male","MSC","Bioinformatics"
2010,"Male","PHD","Physics"
2010,"Male","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Female","PHD","Statistics"
2010,"Male","MSC","Statistics"
2010,"Female","MSC","Statistics"
2010,"Female","MSC","Statistics"
2010,"Male","MSC","Statistics"
2010,"Male","PHD","Statistics"
2010,"Female","PHD","Mechanical Engineering"
2011,"Female","PHD","Resource Mgmt/Envirn Stud"
2011,"Male","MSC","Statistics"
2011,"Female","MSC","Statistics"
2011,"Female","MSC","Statistics"
2011,"Male","MSC","Statistics"
2011,"Male","PHD","Lib, Arch and Info Stud"
2011,"Male","UNCL","Medical Genetics"
2011,"Female","PHD","Statistics"
2011,"Female","MSC","Statistics"
2011,"Male","MSC","Statistics"
2011,"Male","MSC","Statistics"
2011,"Male","MSC","Statistics"
2011,"Female","MSC","Statistics"
2011,"Male","MSC","Statistics"
2011,"Male","PHD","Mechanical Engineering"
2011,"Male","MSC","Mathematics"
2011,"Male","MSC","Experimental Medicine"
2011,"Female","EXCH",""
2011,"Female","PHD","Statistics"
2011,"Female","MSC","Statistics"
2011,"Female","MSC","Statistics"
2011,"Female","MSC","Statistics"
2011,"Male","MSC","Forestry"
2011,"Male","",""
2012,"Male","PHD","Statistics"
2012,"Male","PHD","Biochemistry & Molecular Biol"
2012,"Female","MSC","Genome Science & Technology"
2012,"Female","MSC","Statistics"
2012,"Male","PHD","Kinesiology"
2012,"Female","MSC","Population and Public Health"
2012,"Male","MSC","Mathematics"
2012,"Female","MSC","Genome Science & Technology"
2012,"Male","MSC","Statistics"
2012,"Female","UNCL","Epidemiology"
2012,"Male","VISI","Statistics"
2012,"Male","MSC","Statistics"
2012,"Male","MSC","Statistics"
