year	pop	lifeExp	gdpPercap	region
1952	8425333	28.801	779.4453145	Asia_Afghanistan
1957	9240934	30.332	820.8530296	Asia_Afghanistan
1962	10267083	31.997	853.10071	Asia_Afghanistan
1967	11537966	34.02	836.1971382	Asia_Afghanistan
1972	13079460	36.088	739.9811058	Asia_Afghanistan
1977	14880372	38.438	786.11336	Asia_Afghanistan
1982	12881816	39.854	978.0114388	Asia_Afghanistan
1987	13867957	40.822	852.3959448	Asia_Afghanistan
1992	16317921	41.674	649.3413952	Asia_Afghanistan
1997	22227415	41.763	635.341351	Asia_Afghanistan
2002	25268405	42.129	726.7340548	Asia_Afghanistan
2007	31889923	43.828	974.5803384	Asia_Afghanistan
1952	1282697	55.23	1601.056136	Europe_Albania
1957	1476505	59.28	1942.284244	Europe_Albania
1962	1728137	64.82	2312.888958	Europe_Albania
1967	1984060	66.22	2760.196931	Europe_Albania
1972	2263554	67.69	3313.422188	Europe_Albania
1977	2509048	68.93	3533.00391	Europe_Albania
1982	2780097	70.42	3630.880722	Europe_Albania
1987	3075321	72	3738.932735	Europe_Albania
1992	3326498	71.581	2497.437901	Europe_Albania
1997	3428038	72.95	3193.054604	Europe_Albania
2002	3508512	75.651	4604.211737	Europe_Albania
2007	3600523	76.423	5937.029526	Europe_Albania
1952	9279525	43.077	2449.008185	Africa_Algeria
1957	10270856	45.685	3013.976023	Africa_Algeria
1962	11000948	48.303	2550.81688	Africa_Algeria
1967	12760499	51.407	3246.991771	Africa_Algeria
1972	14760787	54.518	4182.663766	Africa_Algeria
1977	17152804	58.014	4910.416756	Africa_Algeria
1982	20033753	61.368	5745.160213	Africa_Algeria
1987	23254956	65.799	5681.358539	Africa_Algeria
1992	26298373	67.744	5023.216647	Africa_Algeria
1997	29072015	69.152	4797.295051	Africa_Algeria
2002	31287142	70.994	5288.040382	Africa_Algeria
2007	33333216	72.301	6223.367465	Africa_Algeria
1952	4232095	30.015	3520.610273	Africa_Angola
1957	4561361	31.999	3827.940465	Africa_Angola
