"Your_github","Instructions"
"abishekarun","Please add [Shirlett](https://github.com/Shirlett) and [Alexander-Morin](https://github.com/Alexander-Morin) as collaborators to your repo containing hw08. Please __review the hw08 submission of [zxkathy](https://github.com/zxkathy) and [yeonukkim](https://github.com/yeonukkim)__."
"Alexander-Morin","Please add [Mathnstein](https://github.com/Mathnstein) and [Shirlett](https://github.com/Shirlett) as collaborators to your repo containing hw08. Please __review the hw08 submission of [abishekarun](https://github.com/abishekarun) and [zxkathy](https://github.com/zxkathy)__."
"AnhKhoaVo","Please add [juansbr7](https://github.com/juansbr7) and [swynes](https://github.com/swynes) as collaborators to your repo containing hw08. Please __review the hw08 submission of [santiagodr](https://github.com/santiagodr) and [hannahdxz](https://github.com/hannahdxz)__."
"arsbar24","Please add [ZimingY](https://github.com/ZimingY) and [heathersummers](https://github.com/heathersummers) as collaborators to your repo containing hw08. Please __review the hw08 submission of [jmurthy12](https://github.com/jmurthy12) and [HScheiber](https://github.com/HScheiber)__."
"arthursunbao","Please add [wswade2](https://github.com/wswade2) and [suminwei2772](https://github.com/suminwei2772) as collaborators to your repo containing hw08. Please __review the hw08 submission of [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26)__."
"bcahn7","Please add [sepkamal](https://github.com/sepkamal) and [Kozp](https://github.com/Kozp) as collaborators to your repo containing hw08. Please __review the hw08 submission of [wenzhengzzz](https://github.com/wenzhengzzz) and [xinyaofan](https://github.com/xinyaofan)__."
"CassKon","Please add [peterwhitman](https://github.com/peterwhitman) and [ilgan](https://github.com/ilgan) as collaborators to your repo containing hw08. Please __review the hw08 submission of [cheungamanda](https://github.com/cheungamanda) and [vanflad](https://github.com/vanflad)__."
"cheungamanda","Please add [ilgan](https://github.com/ilgan) and [CassKon](https://github.com/CassKon) as collaborators to your repo containing hw08. Please __review the hw08 submission of [vanflad](https://github.com/vanflad) and [margotgunning](https://github.com/margotgunning)__."
"dorawyy","Please add [gbraich](https://github.com/gbraich) and [rishadhabib](https://github.com/rishadhabib) as collaborators to your repo containing hw08. Please __review the hw08 submission of [marbazua](https://github.com/marbazua) and [SonjaS1](https://github.com/SonjaS1)__."
"emilymistick","Please add [rainerlempert](https://github.com/rainerlempert) and [xinmiaow](https://github.com/xinmiaow) as collaborators to your repo containing hw08. Please __review the hw08 submission of [emwest](https://github.com/emwest) and [hsmohammed](https://github.com/hsmohammed)__."
"emwest","Please add [xinmiaow](https://github.com/xinmiaow) and [emilymistick](https://github.com/emilymistick) as collaborators to your repo containing hw08. Please __review the hw08 submission of [hsmohammed](https://github.com/hsmohammed) and [Mathnstein](https://github.com/Mathnstein)__."
"farihakhan","Please add [suminwei2772](https://github.com/suminwei2772) and [arthursunbao](https://github.com/arthursunbao) as collaborators to your repo containing hw08. Please __review the hw08 submission of [Tangjiahui26](https://github.com/Tangjiahui26) and [gbraich](https://github.com/gbraich)__."
"gbraich","Please add [farihakhan](https://github.com/farihakhan) and [Tangjiahui26](https://github.com/Tangjiahui26) as collaborators to your repo containing hw08. Please __review the hw08 submission of [rishadhabib](https://github.com/rishadhabib) and [dorawyy](https://github.com/dorawyy)__."
"hannahdxz","Please add [AnhKhoaVo](https://github.com/AnhKhoaVo) and [santiagodr](https://github.com/santiagodr) as collaborators to your repo containing hw08. Please __review the hw08 submission of [yanchaoluo](https://github.com/yanchaoluo) and [vibudh2209](https://github.com/vibudh2209)__."
"heathersummers","Please add [mylinhthibodeau](https://github.com/mylinhthibodeau) and [ZimingY](https://github.com/ZimingY) as collaborators to your repo containing hw08. Please __review the hw08 submission of [arsbar24](https://github.com/arsbar24) and [jmurthy12](https://github.com/jmurthy12)__."
"HScheiber","Please add [arsbar24](https://github.com/arsbar24) and [jmurthy12](https://github.com/jmurthy12) as collaborators to your repo containing hw08. Please __review the hw08 submission of [juansbr7](https://github.com/juansbr7) and [swynes](https://github.com/swynes)__."
"hsmohammed","Please add [emilymistick](https://github.com/emilymistick) and [emwest](https://github.com/emwest) as collaborators to your repo containing hw08. Please __review the hw08 submission of [Mathnstein](https://github.com/Mathnstein) and [Shirlett](https://github.com/Shirlett)__."
"ilgan","Please add [yuanjisun](https://github.com/yuanjisun) and [peterwhitman](https://github.com/peterwhitman) as collaborators to your repo containing hw08. Please __review the hw08 submission of [CassKon](https://github.com/CassKon) and [cheungamanda](https://github.com/cheungamanda)__."
"jmurthy12","Please add [heathersummers](https://github.com/heathersummers) and [arsbar24](https://github.com/arsbar24) as collaborators to your repo containing hw08. Please __review the hw08 submission of [HScheiber](https://github.com/HScheiber) and [juansbr7](https://github.com/juansbr7)__."
"juansbr7","Please add [jmurthy12](https://github.com/jmurthy12) and [HScheiber](https://github.com/HScheiber) as collaborators to your repo containing hw08. Please __review the hw08 submission of [swynes](https://github.com/swynes) and [AnhKhoaVo](https://github.com/AnhKhoaVo)__."
"KateJohnson","Please add [yeonukkim](https://github.com/yeonukkim) and [qiaoyuet](https://github.com/qiaoyuet) as collaborators to your repo containing hw08. Please __review the hw08 submission of [yuanjisun](https://github.com/yuanjisun) and [peterwhitman](https://github.com/peterwhitman)__."
"Kozp","Please add [menglinzhou](https://github.com/menglinzhou) and [sepkamal](https://github.com/sepkamal) as collaborators to your repo containing hw08. Please __review the hw08 submission of [bcahn7](https://github.com/bcahn7) and [wenzhengzzz](https://github.com/wenzhengzzz)__."
"marbazua","Please add [rishadhabib](https://github.com/rishadhabib) and [dorawyy](https://github.com/dorawyy) as collaborators to your repo containing hw08. Please __review the hw08 submission of [SonjaS1](https://github.com/SonjaS1) and [rainerlempert](https://github.com/rainerlempert)__."
"margotgunning","Please add [cheungamanda](https://github.com/cheungamanda) and [vanflad](https://github.com/vanflad) as collaborators to your repo containing hw08. Please __review the hw08 submission of [yidie](https://github.com/yidie) and [mlawre01](https://github.com/mlawre01)__."
"Mathnstein","Please add [emwest](https://github.com/emwest) and [hsmohammed](https://github.com/hsmohammed) as collaborators to your repo containing hw08. Please __review the hw08 submission of [Shirlett](https://github.com/Shirlett) and [Alexander-Morin](https://github.com/Alexander-Morin)__."
