areana  team lat long
Bridgestone Arena   Nashville Predators   36.15917  -86.77861
Canadian Tire Centre    Ottawa Senators    45.29694   -75.92722
American Airlines Center    Dallas Stars   32.79056  -96.81028
BB&T Center (Sunrise     Florida)  Florida Panthers 26.15833    -80.32556
Bell Centre Montreal Canadiens  45.49611 -73.56944
Air Canada Centre   Toronto Maple Leafs   43.64333  -79.37917
First Niagara Center    Buffalo Sabres 42.875  -78.87639
Consol Energy Center    Pittsburgh Penguins    40.43944   -79.98917
Jobing.com Arena    Phoenix Coyotes    33.53194   -112.26111
MTS Centre  Winnipeg Jets    49.89278   -97.14361
Honda Center    Anaheim Ducks  33.80778 -117.87667
Joe Louis Arena Detroit Red Wings   42.32528  -83.05139
Nassau Veterans Memorial Coliseum   New York Islanders    40.72278   -73.59056
Pepsi Center    Colorado Avalanche 39.74861    -105.0075
Nationwide Arena    Columbus Blue Jackets  39.9692833   -83.0061111
Rexall Place    Edmonton Oilers    53.57139   -113.45611
PNC Arena   Carolina Hurricanes   35.80333  -78.72194
Rogers Arena    Vancouver Canucks  49.27778 -123.10889
Scotiabank Saddledome   Calgary Flames    51.0375    -114.05194
SAP Center at San Jose  San Jose Sharks  37.33278 -121.90111
Prudential Center   New Jersey Devils 40.73361    -74.17111
Scottrade Center    St. Louis Blues    38.62667   -90.2025
Tampa Bay Times Forum   Tampa Bay Lightning   27.94278  -82.45194
Staples Center  Los Angeles Kings    34.04306   -118.26722
Madison Square Garden   New York Rangers  40.75056 -73.99361
United Center   Chicago Blackhawks    41.88056   -87.67417
Xcel Energy Center  Minnesota Wild   44.94472  -93.10111
Wells Fargo Center  Philadelphia Flyers  39.90111 -75.17194
Verizon Center  Washington Capitals  38.89806 -77.02083
TD Garden   Boston Bruins 42.3663028  -71.0622278
