user_name	created	retweets	text
CBC	2015-10-28 14:54:49	30	Officer who flipped student in desk to be let go, report says https://t.co/yRcQG35zXn https://t.co/LgXCbaDtjk
CBC	2015-10-28 14:54:48	8	Apple Pay coming to Canada this year with American Express partnership https://t.co/Whc2g3lLzP https://t.co/xru2gnWdrg
CBC	2015-10-28 14:40:10	10	Renovation nation: Canadians may spend record $53 billion fixing their homes this year https://t.co/lNGZtIuuih https://t.co/KrCQ1rh8go
CBC	2015-10-28 14:40:08	51	Cosmetic ear cropping banned by B.C. veterinarians https://t.co/wlsXmOmBFC https://t.co/E9hFezNJZe
CBC	2015-10-28 14:30:29	10	Alberta will try to spend its way out of a slump, but it also needs oil to recover https://t.co/x2h24rKI39 #abbudget https://t.co/ANkckdlb7m
CBC	2015-10-28 14:25:18	15	'I wouldn't mind to go back to school': No teacher, no students and a vicious cycle https://t.co/I62zrvwTlZ https://t.co/BlKtD9uGQx
CBC	2015-10-28 14:15:01	17	Volkswagen posted 1st quarterly loss in 15 years, as costs from emissions scandal mount https://t.co/Z9WEkQ96km #VW https://t.co/VaDVd5Mw2D
CBC	2015-10-28 14:09:46	10	Trudeau urged to reconsider 'problematic' goal of 25,000 Syrian refugees by end of 2015  https://t.co/0tBrQMfEbj https://t.co/uuZcv3OPT4
CBC	2015-10-28 14:00:34	24	#Tesla's new Autopilot software means self-driving cars are already on Canadian roads https://t.co/3ksvzhVvEX https://t.co/WsM8s3T73R
CBC	2015-10-28 13:45:18	6	.@HillaryClinton was 5th U.S. presidential candidate to appear on @colbertlateshow https://t.co/JdEI2kc4JA https://t.co/DlGFYQQFeh
CBC	2015-10-28 13:30:15	16	Canada Post's door-to-door delivery debate reignites as Liberals set to take office https://t.co/3pXZ1BHtCe #cdnpoli https://t.co/aM4UvkVzRe
CBC	2015-10-28 12:09:07	23	Southern Ontario braces for heavy rain, high winds, slow commute https://t.co/FhKEgyZ0yr https://t.co/hRMFKuVsA7
CBC	2015-10-28 12:09:06	13	Germans accuse Austria of driving refugees to border to cross after dark https://t.co/iKEQuiZuq0 https://t.co/Y59Dj9NkiQ
CBC	2015-10-28 11:23:24	17	Death toll from Afghan quake rises to 385 as survivors await aid https://t.co/NbF3X5vSr3 https://t.co/mcNLWucqVC
CBC	2015-10-28 11:00:30	19	Canadian eel tracked on 45 day, 2,400-kilometre migration to Sargasso Sea https://t.co/twxO480Dcp https://t.co/ptopcIwNtM
CBC	2015-10-28 10:45:05	16	Defeated MP Peter Stoffer packs up eccentric Parliament Hill office after 18 years https://t.co/OUPpMwC4lw https://t.co/UsprzdaJRc
CBC	2015-10-28 10:30:43	11	Stephen Harper to move back to Calgary following election defeat https://t.co/Nm11kbwnf9 https://t.co/oCbuAVcOPS
CBC	2015-10-28 10:00:36	12	Syrian family reunites at Edmonton airport https://t.co/vlexQEwzVp https://t.co/cDIlhNBTkB
CBC	2015-10-28 09:38:22	25	Volkswagen emissions scandal sends automaker to first quarterly loss in at least 15 years https://t.co/rIzp6pacAc https://t.co/KZ8HogKfm4
CBC	2015-10-28 09:08:36	9	Door-to-door mail delivery: Charge for it, scrap it or subsidize it?  https://t.co/4LYaSgFkd5 https://t.co/7EaA7jXWQW
CBC	2015-10-28 09:08:35	4	Alberta budget: Can the province spend its way to prosperity? https://t.co/PDWHRgZDdH https://t.co/m08pAxfQ1p
CBC	2015-10-28 09:08:34	3	Did 3rd-party groups sway voters during federal election? https://t.co/Zhc8O5AhRw https://t.co/6M7GFHVODp
CBC	2015-10-28 09:08:33	15	Ready or not, self-driving cars are cruising on Canadian roads https://t.co/sQcvIo1JO0 https://t.co/dPISCM9NU8
CBC	2015-10-28 09:08:32	6	How submarine cables became the latest Russia-U.S. issue https://t.co/zRnq6nCQZi https://t.co/cdsnzhR6bc
CBC	2015-10-28 09:08:31	4	Top 10 Trending Halloween Costumes https://t.co/RWf1A7KXFT https://t.co/XGiMACog1B
CBC	2015-10-28 09:00:07	14	Archeologists searching for Grand-Pr Acadian church site https://t.co/uqnwvjNW2Y https://t.co/pgIbvvacpe
CBC	2015-10-28 08:24:09	5	Clinton doesn't believe banks should be 'too big to fail' https://t.co/h5WaGY03Gf https://t.co/dxVXrsSOQZ
CBC	2015-10-28 08:00:38	8	Cenotaph plaque with names ground off turns up at scrap yard https://t.co/ODuJrYaZGR https://t.co/2dQNrizUEh
CBC	2015-10-28 07:09:45	3	Alassane Ouattara wins 2nd term as president in Ivory Coast https://t.co/rpaJGp7CtI https://t.co/JZGmPOby7v
CBC	2015-10-28 07:00:11	19	Canadian scientist thrills the web by live-tweeting spider sex https://t.co/1PHrBV9ubD https://t.co/InDTn0YwuW
CBC	2015-10-28 06:55:44	3	Doris Payne accused of jewel theft again, at age 85 https://t.co/aba2AgMEsW https://t.co/GtSStbdNah
CBC	2015-10-28 06:32:22	7	Royals defeat Mets in longest World Series opener https://t.co/higGOAompF https://t.co/CtUDUAR0Xn
CBC	2015-10-28 06:00:18	21	Canadian eel tracked on 2,400-kilometre migration to Sargasso Sea https://t.co/twxO480Dcp https://t.co/LWvt9WwNgg
CBC	2015-10-28 05:15:36	6	Ben Carson heads into Republican debate as Iowa front-runner https://t.co/X4SD3r3YVa https://t.co/5DIwqef3zz
CBC	2015-10-28 05:15:35	11	Canucks deny Canadiens NHL record-tying 10th win to start season https://t.co/KjJtR9w2RA https://t.co/uw5WCaDawE
CBC	2015-10-28 05:00:17	24	3 Canadian doc filmmakers are Oscar semi-finalists https://t.co/5XMKVgNdpD https://t.co/GIbvKsTwUS
CBC	2015-10-28 04:00:43	14	Michael Chong urges MPs to 'reclaim their influence' as Reform Act takes effect https://t.co/chGD01OZVl https://t.co/AddeqFyCMW
CBC	2015-10-28 03:30:12	40	Justin Trudeau to move forward with ambitious agenda by year's end https://t.co/SAl7U7Tydm https://t.co/bVj84qR78c
CBC	2015-10-28 03:00:34	6	1998 Tofino whale-watching accident sparked call for regulation https://t.co/MTzNL1Pj3w https://t.co/FF7WnulqOr
CBC	2015-10-28 02:38:47	27	3 dead in 2-vehicle crash north of Toronto https://t.co/WsyA5vnzkB https://t.co/3BcwygX3l3
CBC	2015-10-28 02:30:20	39	Canadian scientist thrills the web by live-tweeting spider sex https://t.co/1PHrBV9ubD https://t.co/9y8Zdup9iO
CBC	2015-10-28 02:30:12	21	Big Tobacco ordered to put $1B in trust for class-action lawsuit members https://t.co/zMm0QRFp7P https://t.co/nmglsn4DUe
CBC	2015-10-28 02:08:41	22	Refugees make landfall in Europe, but journey far from over https://t.co/AlWJ7nJAT7 https://t.co/56ZNqMaF0h
CBC	2015-10-28 02:00:44	76	Planetary conjunction: Venus, Jupiter, Mars converge in morning sky https://t.co/VnsoX4H5B0 https://t.co/8hAiyvC9dn
CBC	2015-10-28 01:38:56	19	Big Tobacco ordered to put $1B in trust for class-action lawsuit members https://t.co/nLhIDW3Cdg https://t.co/ggCDrCf6N8
CBC	2015-10-28 01:30:26	39	Taxman clamps down on snowbirds heading south, hopes to save millions https://t.co/KiNaxvZNV5 https://t.co/cGRDWtPE2U
CBC	2015-10-28 01:23:46	39	Liberals to get busy with packed agenda before year's end https://t.co/ZnS1w6BMb8 https://t.co/jhy9s7ayyE
CBC	2015-10-28 01:10:21	5	A 1998 tragedy sparked call for reform, but whale watching is 'not risk-free' https://t.co/MwwslNsjfA https://t.co/EixIrQdulf
CBC	2015-10-28 01:00:33	13	Alberta to loosen purse strings to stimulate economy https://t.co/7J038Pmzoh https://t.co/5bJn0Ksb9M
CBC	2015-10-28 00:30:26	12	Processed meat's cancer link unlikely to change habits, experts say https://t.co/E12Pnzk4tB https://t.co/iOiiPgcWlV
CBC	2015-10-28 00:23:50	37	Focus on niqab, stripping citizenship a mistake, says Harper's outgoing parliamentary secr https://t.co/SIc8tZS3Yo https://t.co/DXAmvvzt0N
CBC	2015-10-28 00:09:04	7	TSB updating investigation into Tofino whale-watching boat tragedy https://t.co/i59ZrxDt3K https://t.co/ExSDbfbM9X
CBC	2015-10-28 00:00:57	65	Persian Gulf may become too hot for humans, study suggests https://t.co/9QASCe5kHV https://t.co/bM3fIzYiW8
CBC	2015-10-27 23:52:46	19	Live-tweeting of spider sex fascinates the web https://t.co/3qpiqeEuD8 https://t.co/m2yAJm9k7w
CBC	2015-10-27 23:45:12	10	Deaths of Canadian Ranger and spouse involved military-issued rifle https://t.co/9F1gh2WTiF https://t.co/ANdzvx46hm
CBC	2015-10-27 23:15:03	11	Victoria B.C. pig lover refuses to part with pot-bellied babies https://t.co/mMGExh6Xcw https://t.co/7x5zoa9wGK
CBC	2015-10-27 23:10:24	33	Tofino rescue triggered by single flare and quick action https://t.co/bGl3sqwkNm https://t.co/4USvGRbwCL
CBC	2015-10-27 23:00:41	13	Deaths of Canadian Ranger and spouse involved military-issued rifle https://t.co/9F1gh2WTiF https://t.co/VaUAaT4UIy
CBC	2015-10-27 22:45:38	25	South Carolina officer's arrest of student to be probed by Justice Department https://t.co/F2abBzTqqz https://t.co/6nd4MDQdsG
CBC	2015-10-27 22:45:33	66	Canadian scientist @Cataranea thrills the web by live-tweeting spider sex https://t.co/1PHrBV9ubD https://t.co/hzjFrnbImo
CBC	2015-10-27 22:32:06	9	'Right budget at the right time,' Alberta finance minister says  https://t.co/o2Iso4VXvY https://t.co/GGBH1cXngc
CBC	2015-10-27 22:32:06	15	iPhone 6S proves a winner for Apple with 48 million sold https://t.co/rmzdYoPIPm https://t.co/Z13Y0MjfOD
CBC	2015-10-27 22:30:42	20	Analysis: Way too many Nazi references in this Republican race https://t.co/VPZa7yf94W https://t.co/7bi3zRcxbj
CBC	2015-10-27 22:15:09	55	Planetary conjunction: Venus, Jupiter, Mars converge in morning sky https://t.co/VnsoX4H5B0 https://t.co/JudOHZbZUe
CBC	2015-10-27 22:00:06	28	Stephen Harper to move back to Calgary following election defeat https://t.co/Nm11kbwnf9 https://t.co/gitY1Irmb2
CBC	2015-10-27 21:45:12	46	Persian Gulf may soon be too hot to support human life https://t.co/PFfFyNaFUo https://t.co/hTu0UvFmwb
CBC	2015-10-27 21:30:14	18	Taxman clamps down on snowbirds heading south, hopes to save millions https://t.co/KiNaxvZNV5 https://t.co/LCyPScFsFJ
CBC	2015-10-27 21:21:02	9	Military-issued rifle involved in deaths of Canadian Ranger and spouse https://t.co/3mwFuVSzPi https://t.co/DycY6Q1xI8
CBC	2015-10-27 21:21:01	57	Venus, Jupiter and Mars will form dazzling triangle before dawn https://t.co/mUcOcUUIq4 https://t.co/atLa5QWkFp
CBC	2015-10-27 21:15:02	19	Leah Remini blasts Tom Cruise, Scientology in new interview with 20/20 https://t.co/eun09ybjho https://t.co/sDnxab3x9w
CBC	2015-10-27 21:00:26	20	Wal-Mart applies to test delivery drones https://t.co/qeq5nN4p5w https://t.co/9hMlguNAcb
CBC	2015-10-27 20:45:05	17	Cougar treed by wild dogs west of Calgary caught on camera https://t.co/X5TInjgDoj https://t.co/glaitBUUBx
CBC	2015-10-27 20:30:34	59	Law to reduce use of bee-killing pesticides upheld in court https://t.co/f6lDSaKZte https://t.co/naPnJ8tKOb
CBC	2015-10-27 20:18:42	14	Stephen Harper to move back to Calgary following election defeat https://t.co/lj1JR7lkdH https://t.co/Qbp5Z11W5F
CBC	2015-10-27 20:18:41	7	B.C. premier praises rescuers in Tofino whale-watching tragedy https://t.co/aqPq8RaZoG https://t.co/k3dtENdSFp
CBC	2015-10-27 20:18:40	49	European Union to ban wireless roaming fees as of June 2017 https://t.co/YwsoDB8HY4 https://t.co/YQyvZ3I1g7
CBC	2015-10-27 20:15:25	9	Spectre, latest 007 film, has glitzy premiere in London https://t.co/hMJTIS5jRn https://t.co/fu9CPNnQZc
CBC	2015-10-27 20:00:34	11	Flu shot's 'crystal ball' science still best bet against influenza https://t.co/Tm8WfHgeNI https://t.co/DrZaI72wkG
CBC	2015-10-27 19:45:16	24	Vancouver Island soccer club suspended after teen player slams sponsor https://t.co/YPDZq3KDqO https://t.co/u5SNRAWuSC
CBC	2015-10-27 19:30:21	12	Canadian Forces ombudsman to review Canadian Rangers program https://t.co/sknyUAUqoz https://t.co/bdP6QnRhZc
CBC	2015-10-27 19:17:54	54	P&amp;G, Kimberly Clark list ingredients in tampons, pads after consumer pressure https://t.co/wHGAhjwTeW https://t.co/PwtbO0O9Mi
CBC	2015-10-27 19:17:53	26	NAACP officials react to video of violent arrest of South Carolina student https://t.co/oejQX3uow8 https://t.co/qGecRO4fYY
CBC	2015-10-27 19:17:52	16	Loonie and oil take a dive as U.S. plans to sell off part of strategic petroleum reserve https://t.co/gJvLG25N5T https://t.co/sI4vjkUcog
CBC	2015-10-27 19:17:52	13	Website that archives politicians' deleted tweets may return https://t.co/TC1vVNLV8Q https://t.co/yYS8w8m3lg
CBC	2015-10-27 19:15:05	11	Weak Canadian dollar a drag for U.S. airports catering to Canadian fliers https://t.co/csOtn73Fyx https://t.co/CJQBIuJI1g
CBC	2015-10-27 19:00:09	14	Beef industry takes WHO report 'with a grain of salt'  https://t.co/oeAIsGACgY https://t.co/TygjR1TFhf
CBC	2015-10-27 18:45:13	30	Canada Post halts controversial community mailbox program https://t.co/mcJ3UE7bTa https://t.co/VRZAw1wZB9
CBC	2015-10-27 18:30:40	19	Coming up, the NAACP's reaction to the violent arrest of a South Carolina student https://t.co/F2abBzTqqz https://t.co/DOGyHHu1oX
CBC	2015-10-27 16:30:58	10	Road rage can now be reported to Windsor police using an online form https://t.co/a3F843MOh2 https://t.co/AIkNnruwMK
CBC	2015-10-27 16:18:08	14	Beef industry rejects 'alarmist' carcinogen advisory from WHO https://t.co/ARw36bFJOX https://t.co/PTCArNBtF7
CBC	2015-10-27 16:18:07	23	Taxman clamps down on snowbirds heading south, hopes to save millions https://t.co/fUA3kWNt3Z https://t.co/uXIkJX7qBw
CBC	2015-10-27 16:15:26	23	ANALYSIS: Way too many Nazi references in this Republican race https://t.co/VPZa7yf94W https://t.co/Roq5ybOlDc
CBC	2015-10-27 16:00:17	9	Donald Trump got a million dollars from dad, scorn from the internet https://t.co/QubJmrIbPC https://t.co/HDU4p4tNGY
CBC	2015-10-27 15:45:09	18	Trudeau family pictures remembered by retired photographer Rod MacIvor https://t.co/WOycJGsmxg https://t.co/yswjhmVmOL
CBC	2015-10-27 15:30:47	24	Vancouver Island soccer club suspended after teen player slams sponsor https://t.co/YPDZq3KDqO https://t.co/4SHtFcwElo
CBC	2015-10-27 15:18:46	9	British father, son among Tofino boat victims https://t.co/ZumVNeLgH1 https://t.co/ZTMhc3XC9D
CBC	2015-10-27 15:18:45	13	End of the world: 5 reasons zombies have infected pop culture https://t.co/HiKiH9bCIk https://t.co/8Ms8XwCkQR
CBC	2015-10-27 15:18:45	12	Trudeau family pictures remembered by retired photographer Rod MacIvor https://t.co/p3AVAgWEpN https://t.co/zQoBr7E0Eq
CBC	2015-10-27 15:18:44	25	Famed diplomat Ken Taylor to be honoured at funeral in Toronto today https://t.co/uDCzMH1ETe https://t.co/qakBop3vx6
CBC	2015-10-27 15:18:43	9	Justin Trudeau to meet with Kathleen Wynne today in Toronto https://t.co/tTClRIQxkf https://t.co/cRQwksDdjl
CBC	2015-10-27 15:18:43	14	Teen girl's soccer club suspended after player slams sponsor https://t.co/7F0vkH0xay https://t.co/MOCSkNqGSP
CBC	2015-10-27 15:18:42	2	Manitoba's Candice Bergen joins Conservative interim leadership contest https://t.co/i5Gyyrp5pt https://t.co/pNHR4mnL4M
CBC	2015-10-27 14:18:39	6	First caucus meetings mean big decisions as Michael Chong's Reform Act takes hold https://t.co/g7Z0tA2tJH https://t.co/AqZhL2xyx6
CBC	2015-10-27 14:18:38	8	Quebec police reacts as First Nations chiefs discuss Val-d'Or abuse allegations https://t.co/CvFQpR7VaK https://t.co/MlOkLVrcmC
CBC	2015-10-27 14:18:36	59	Persian Gulf may soon be too hot to support human life https://t.co/3QLBiNI09P https://t.co/vbpZ1GOT9N
CBC	2015-10-27 13:18:06	8	Weak loonie takes a bite out of sales at Tim Hortons owner https://t.co/OyUjkCq1FK https://t.co/6zTGyCNU6a
CBC	2015-10-27 12:18:33	30	Dutch man won't face charges in Netherlands related to Amanda Todd extortion https://t.co/3uWwfKhlCn https://t.co/kn2Tybf0B7
CBC	2015-10-27 12:18:32	24	Death toll at least 311 in earthquake that struck Afghanistan, Pakistan https://t.co/8t2e8fJjbA https://t.co/xHSc38jskY
CBC	2015-10-27 12:18:31	18	U.S. tests China as destroyer sails through disputed islands  https://t.co/Qhh2yp2mWb https://t.co/kKXRWyAg7f
CBC	2015-10-27 11:18:11	25	Police silence about disabled man's death after arrest frustrates family's quest for answe https://t.co/qYacvZ0OZB https://t.co/c7QmPTzT2q
CBC	2015-10-27 11:18:10	22	How Canada could slash carbon emissions with existing technology https://t.co/Ljq1zu2l4U https://t.co/StjrLHsaXs
CBC	2015-10-27 11:18:10	20	Trump mocked for 'small loan' of a million dollars from his dad https://t.co/8NyoNFSkHi https://t.co/LHlIs6RZcH
CBC	2015-10-27 11:18:09	7	New Democrats vow to reintroduce sports betting bill https://t.co/2FmVAQDrhB https://t.co/GLotceQI0W
CBC	2015-10-27 11:00:06	13	Tom Mulcair says niqab position was a defining moment of his political career https://t.co/NGnDbUlJot https://t.co/dkSLMH8WCw
CBC	2015-10-27 10:45:05	10	Donald Trump got a million dollars from dad, scorn from the internet https://t.co/QubJmrIbPC https://t.co/oOnOgXuRLD
CBC	2015-10-27 10:30:03	29	Why do leaves turn red in the fall? The science is up for debate https://t.co/H5NzzR1vsC https://t.co/SGLwEfx17C
CBC	2015-10-27 10:17:55	17	'Empty feeling in your gut': Responders describe grim search for whale-watching accident s https://t.co/YrBhtI81V7 https://t.co/N4xDLUfHT8
CBC	2015-10-27 10:00:18	9	Former Nova Scotia MP, suggests dropping the N from NDP https://t.co/3SvqFOJUk7 https://t.co/eeGcRRTu3c
CBC	2015-10-27 09:16:52	16	Why flu vaccine design is still a shot in the dark https://t.co/sskc9793Nm https://t.co/pAdu1OPFLT
CBC	2015-10-27 09:16:51	14	Way too many Nazi references in this Republican race: Neil Macdonald https://t.co/xkurfR5NwS https://t.co/lWJk4fdYFA
CBC	2015-10-27 09:16:51	23	Canadian Forces ombudsman to review Canadian Rangers program https://t.co/MmLRKbR4il https://t.co/wrPhjQJjBF
CBC	2015-10-27 09:16:50	20	Processed meat's cancer link unlikely to change habits, experts say https://t.co/jbyXHNFFts https://t.co/WC5Q2U2xH8
CBC	2015-10-27 09:16:50	7	Alberta's NDP government to release 1st budget  https://t.co/mIcBzpDQ7G https://t.co/RDVuUDQz38
CBC	2015-10-27 09:16:49	8	Passenger expected to recount terrifying night on streetcar at Forcillo trial https://t.co/R2dtlQ6XxS https://t.co/61ixBRvUbs
CBC	2015-10-27 09:00:08	12	Deer population down 15 - 20 % after harsh winter https://t.co/EvRpu9xiXZ https://t.co/KgeI9C27Hj
CBC	2015-10-27 08:17:03	3	Republicans face big decision after their leadership reach budget deal https://t.co/WMRDyk9f9g https://t.co/1maUCwJPta
CBC	2015-10-27 08:00:44	37	Murder-suicide of B.C. mom and autistic son shows need for more support: family https://t.co/lT4vitE1rT https://t.co/Qu9pKdVlwX
CBC	2015-10-27 07:00:44	5	Former Nova Scotia MP suggests dropping N from NDP https://t.co/3SvqFOJUk7 https://t.co/omC2N1uk3U
CBC	2015-10-27 06:00:22	13	Whale-watching tragedy: what were the rules for life jackets? https://t.co/C4vlah80u1 https://t.co/sxTjIqOXra
CBC	2015-10-27 05:00:39	29	Justin Trudeau to meet with Ontario premier Kathleen Wynne in Toronto https://t.co/wVaYTIKRqC https://t.co/oEVPxEsBpg
CBC	2015-10-27 04:44:40	5	Flames shut out by Islanders, suffer 7th loss in 9 starts https://t.co/BbUS6NTmTt https://t.co/kIBSIoYeSF
CBC	2015-10-27 04:14:59	17	Toronto woman who accused Bill Cosby sues former prosecutor for defamation https://t.co/E9pZ7tzYwC https://t.co/IXZnGOI5yP
CBC	2015-10-27 04:00:30	64	Ethan Hawke helps Mi'kmaq oppose Gulf of St. Lawrence oil exploration https://t.co/MFeAajNsPe https://t.co/0aJoNrQyJJ
CBC	2015-10-27 03:30:22	27	Justin Trudeau will move into Rideau Cottage, not 24 Sussex Drive https://t.co/3kpCuy8ML6 https://t.co/GmdGTQojCD
CBC	2015-10-27 03:30:07	7	Max Domi helps put away Maple Leafs, father's former team https://t.co/HAmErre330 https://t.co/ylk7rX5eZR
CBC	2015-10-27 03:00:06	64	Canada Post halts community mailbox program https://t.co/mcJ3UE7bTa https://t.co/b8cZQ1KAl3
CBC	2015-10-27 02:30:05	86	Waterloo police seek missing Kitchener teen Matthew Domm https://t.co/rCqc9Oiz2X https://t.co/vjVsgr1WM5
CBC	2015-10-27 02:00:32	22	Trump got a million dollars from dad, scorn from the internet https://t.co/QubJmrIbPC https://t.co/EROEuar0eT
CBC	2015-10-27 01:30:13	28	Cougar treed by wild dogs west of Calgary caught on camera https://t.co/X5TInjgDoj https://t.co/iWsjxa7J5o
CBC	2015-10-27 01:04:39	59	Tom Mulcair says niqab position was a defining moment of his political career https://t.co/t4psaHSlbi https://t.co/fYmDGidb7y
CBC	2015-10-27 01:00:19	32	Justin Trudeau urged to take action on Syrian refugees https://t.co/eYHd2HdW73 https://t.co/bcawMAS1dz
CBC	2015-10-27 00:31:28	12	Police union warns against scapegoating Val-d'Or officers for 'social issue' https://t.co/eDZIHTaFvS https://t.co/kuaCW0zcVo
CBC	2015-10-27 00:30:05	16	Toronto-Tel Aviv Air Canada flight diverted to Cyprus after lightning strike https://t.co/leUcw0JQRj https://t.co/XTs0CWXCC4
CBC	2015-10-27 00:14:52	32	Alberta couple stumble across cougar forced up a tree by wild dogs  https://t.co/24XhridVAG https://t.co/CMyiWOD1x8
CBC	2015-10-27 00:01:03	42	5 things: What findings on red, processed meat and cancer really mean https://t.co/PvACkmRVGL https://t.co/5rzuJOL0BU
