"CREATEUSERID";"TITLE";"ABSTRACT";"TYPDOC"
"Kosmidis Ioannis";"trackeRapp: An integrated shiny workflow for the analysis of running, cycling and swimming data";"Recent technological advances have allowed the frequent and simultaneous measurement of multiple aspects of athletic activities, like running, cycling and swimming in high frequency, at a small cost and through a wealth of devices. The resulting data are increasingly being used by not only elite sports teams but also recreational athletes to quantify and track aspects of their activity and performance through time. In this talk, we will present the trackeRapp R package, which is the first shiny interface for the analysis and tracking of athletic activity data in R. trackeRapp builds on the extensive infrastructure provided by the trackeR R package and offers a user-friendly, web-interface that implements an integrated workflow for the analysis of sports data from GPS-enabled tracking devices through flexible and extensive interactive visualisations and data-analytic tools. trackeRapp offers functionality to import data from raw activity files of popular formats (tcx, gpx, json and db3), clean them, organised them and finally export images of processed activity data that can be used for further analysis not only within the interface but also for more advanced modelling in R. We will introduce the interface and its capabilities through a live demonstration, and we will present the challenges we faced whilst developing it and our future plans.";"oral presentation"
"Scheffer Annette";"Navigating spatial data management and analysis in Sustainable Fisheries using a combined R ? Python approach";"Geospatial data is of increasing importance in resource management, impact assessment and decision-making. However, the variety of requirements and user experience when working with spatial data - from developing data visualisations through graphical interfaces to undertaking analyses with customized coding - necessitates tailored solutions to maximize accessibility of data and analysis tools for different user groups. The Marine Stewardship Council (MSC) is a non-profit organization providing an internationally recognized sustainable seafood ecolabel and fishery and traceability certification programs. The nature of such an organization means that multiple departments have different requirements and coding proficiency, requiring that the MSC's spatial data management and analysis strategy accommodates a variety of access and analysis tools. Here, we discuss the implementation of spatial data storage, organisation and analysis at the MSC in light of maximizing accessibility, workflow efficiency and reproducibility of results. Our implementation combines open-source analysis tools such as R, Python and qGIS together with PostgreSQL for spatial data management. R and Python scripts combined under the rPython package allow connecting to the spatial database via R or qGIS and automating repeated processes such as specific queries and analyses.";"lightning talk"
"Arabzadeh Rezgar";"Application of WRSS in Water and Energy Analysis; An object oriented R package for large-scale water resources operation";"Water Resources Simulator, an object-oriented open-source software package based on R language, is developed for simulation of water resources systems based on Standard Operation Policy. In spite of numerous commercially available software packages for modeling and simulation of water resources systems, only a limited number of free and open source tools are available in this regard. This acted as the initiative for the development of WRSS which enables water resources engineers to study and assess water resources projects by modeling and simulation. This package provides users a number of functions and methods to build a model, manipulate its components, simulate the scenarios and publish and visualize the results in a water resource system study. WRSS is capable to incorporate various components of a large and complex supply-demand system as well as hydropower analysis for reservoirs since they have not been available in any other R packages. In addition, a particular coding system, devised for WRSS, allows water resources component to interact together by transferring mass in terms of seepage, leakage, spillage, and return flow. In addition to its capabilities, the package was successfully applied to a case study of a water resources system composed of 5 reservoirs and 11 demand sites and the results proved the role of WRSS in the enhancement of the dam operation under the large-scale model.";"oral presentation"
"Laier Gunnar";"Fast calculation of bessel functions with applications to statistical models in finance and geology";"We illustrate and compare different strategies for calculation of Bessel functions with applications to heavy tailed distributions in finance and geology.
 Calculation strategies ranging from very classic old-fashion hard-coding, optimization of traditional R functions and application of Rcpp are illustrated as we assess performance and precision of different implementations of Bessel functions in both tables and graphics. Precision and speed of calculations are related to identifiability and optimization problems within the family of generalized hyperbolic distribution and recent developments.";"poster"
"Joo Rocio";"Navigating through the R packages for movement";"The advent of biologging devices has led to the collection of ever-increasing quantities of tracking data from animals and humans. In parallel, sophisticated tools to process, visualize and analyze tracking data have been developed in abundance. Within the R software, we listed 57 packages focused on these tasks, called here tracking packages.
Here we review and describe each package based on a workflow centered around tracking data, broken down in three stages: pre-processing, post-processing and analysis (data visualization, track description, path reconstruction, behavioral pattern identification, space use characterization, trajectory simulation and others). 
Links between packages are assessed through a network graph analysis and show that one third of the packages worked on isolation, reflecting a fragmentation in the R movement-ecology programming community. 
Finally, we provide recommendations for users to choose packages and for developers to maximize the usefulness of their contribution and strengthen the links between the programming community.";"oral presentation"
"Thorne Brent";"Transitioning between various RMarkdown packages for workflow optimization in academic research; a graduate student's perspective.";"Reproducible documentation and the use of RMarkdown is becoming more prevalent in the academic world. Packages built on RMarkdown such as posterdown, xaringan, pagedown, and rticles allow for most aspects of a typical research project to be produced; however, newcomers to RMarkdown can be put off or discouraged by the inconsistencies in which each type of document needs to be formatted in the '.Rmd' file. This talk will provide insight into the benefits and downfalls of fully customizable RMarkdown packages with emphasis on (1) the importance of a timely workflow for the short duration of an average graduate student program; (2) introducing students or supervisors who are new to RMarkdown, and (3) show the importance of reproducibility in every stage of a good research project. Concepts from this presentation intend to spark conversation and show the importance of reproducible document generation in all stages of a research project.  ";"lightning talk"
"Hong Seong-Yun";"Exploring the geographic distribution of the elderly population at risk in South Korea";"The rapid demographic transition to an aged society, which is defined as a country in which people aged 65 or over exceeds 14 percent of the total population, in South Korea has increased the demand for social welfare and public health programs. There is however always limited budget for welfare services and care resources, so it should be efficiently managed and utilised. To address these challenges, we attempt to identify neighbourhoods where elderly people in need are concentrated using spatial segregation measures in R. We assess whether low-income seniors or those who live alone are geographically isolated in certain areas using the spatial exposure index implemented in the seg package and then visualise the results. If the old people are isolated in a few administrative zones, the accessibility of medical services, community centres and grocery stores for those living in the areas are evaluated. This process will be implemented as a function in R so it can assist policy-makers by quickly suggesting areas that needs more investment.";"poster"
"Smira Martin";"Shiny for real-time monitoring in travel tech company";"In our travel tech company, we face a vast amount of data both as an input and also on the output side. Due to the data amount and fast development culture, we can face possible glitches that can cause misbehaviour of our product. For the purpose of real-time monitoring one part of the product behaviour, we have developed a dashboard in Shiny that helps identify some issues early on and allow for investigation of the problem. We have faced some challenges while building the app since the data input on 61 440 000 records per day and therefore we had to use several tricks to boost the performance. ";"poster"
"Seynaeve Daan";"rjenkins and rrundeck: Coordinating Continuous Integration and Delivery with R";"Continuous integration is a software development practice that advocates for members of a team to merge their work frequently in a shared repository. Each integration is verified through a process of automated building and testing. This process can be facilitated through the use of a build server. A popular choice is Jenkins: a free and open source automation server. Continuous delivery is an extension of the continuous integration principle that asks that every successfully built version of the software is put into a staging environment from where it can easily be deployed to a production setting. The deployment process is still manual but it can be simplified through the use of self-service operations. Rundeck is an open source management platform that allows to define such self-service operations. We propose two new R packages: rjenkins and rrundeck. These packages interact with the Web APIs offered by Jenkins and Rundeck to easily create, trigger and monitor jobs and operations. This provides R users with an intuitive interface to these tools which can be used in an interactive or scripted way.";"oral presentation"
"Zhao Allan";"prVis: a Novel Method for Visual Dimension Reduction";"Visualization is an invaluable tool for gaining insight into complex high-dimensional data. Here we introduce prVis: a polynomial-based 2-D visualization method. PrVis, or polynomial visualization, captures potential nonlinear relationships in datasets by performing polynomial expansion and applying PCA on the resulting expanded polynomials. Our method produces an arguably better outcome on the famous Swiss Roll test case than do t-sne, UMAP, and ordinary PCA, and generally does as well or better than those methods on other datasets. PrVis offers options to further investigate how the clusters of data relate to the original variables. The prVis software package includes several features to support easier interpretation of visualized data, including color coding for discrete and continuous variables, alpha blending, adding row numbers to data points, and removing outliers. PrVis also provides users with options for random sampling and memory-mapping to better work with large datasets.

";"oral presentation"
